repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,164000,https://github.com/tensorflow/tensorflow
transformers,huggingface,61100,https://github.com/huggingface/transformers
pytorch,pytorch,55400,https://github.com/pytorch/pytorch
keras,keras-team,55000,https://github.com/keras-team/keras
scikit-learn,scikit-learn,49700,https://github.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,44800,https://github.com/tesseract-ocr/tesseract
face_recognition,ageitgey,43900,https://github.com/ageitgey/face_recognition
TensorFlow-Examples,aymericdamien,41900,https://github.com/aymericdamien/TensorFlow-Examples
faceswap,deepfakes,40800,https://github.com/deepfakes/faceswap
julia,JuliaLang,38900,https://github.com/JuliaLang/julia
awesome-scalability,binhnguyennus,38200,https://github.com/binhnguyennus/awesome-scalability
100-Days-Of-ML-Code,Avik-Jain,36800,https://github.com/Avik-Jain/100-Days-Of-ML-Code
cs-video-courses,Developer-Y,34400,https://github.com/Developer-Y/cs-video-courses
caffe,BVLC,32500,https://github.com/BVLC/caffe
ML-For-Beginners,microsoft,33000,https://github.com/microsoft/ML-For-Beginners
DeepFaceLab,iperov,32100,https://github.com/iperov/DeepFaceLab
d2l-zh,d2l-ai,31500,https://github.com/d2l-ai/d2l-zh
MadeWithML,GokuMohandas,29900,https://github.com/GokuMohandas/MadeWithML
machine-learning-for-software-engineers,ZuzooVn,25800,https://github.com/ZuzooVn/machine-learning-for-software-engineers
yolov5,ultralytics,24900,https://github.com/ultralytics/yolov5
Coursera-ML-AndrewNg-Notes,fengdu78,24700,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
handson-ml,ageron,24300,https://github.com/ageron/handson-ml
openpose,CMU-Perceptual-Computing-Lab,23900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
awesome-deep-learning-papers,terryum,23600,https://github.com/terryum/awesome-deep-learning-papers
spaCy,explosion,23200,https://github.com/explosion/spaCy
data-science-ipython-notebooks,donnemartin,23000,https://github.com/donnemartin/data-science-ipython-notebooks
google-research,google-research,22900,https://github.com/google-research/google-research
xgboost,dmlc,22500,https://github.com/dmlc/xgboost
fastai,fastai,22100,https://github.com/fastai/fastai
ML-From-Scratch,eriklindernoren,21000,https://github.com/eriklindernoren/ML-From-Scratch
